"tsn","ts_afs_name","ts_scientific_name","region_name","state_name","year","pounds","dollars","tot_count","source","collection"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",2000,56360,95853,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1972,616500,170720,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1973,835100,257504,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1974,613600,133662,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1975,36900,15210,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1976,44900,26887,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1977,10200,6460,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1978,30200,33926,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1979,21900,29255,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1984,10800,27371,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1990,40390,44365,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1991,80252,154248,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1992,272142,430468,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1993,423196,665653,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1994,463600,826987,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1995,18283,30098,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1996,7601,12923,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1997,19800,20470,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1998,30941,30941,NA,"ACCSPHIST","Commercial"
"167680","BASS, STRIPED","Morone saxatilis","Middle Atlantic","MARYLAND",1999,37553,47959,NA,"ACCSPHIST","Commercial"
